date,time,commit,violations
2013-06-22,09:35:20,926a2b491ead54669b506a5cb962cc5cba522a6d,0
2013-06-28,08:54:00,7ce3df9255791ff4328a0e3bdd49ff8a1fa9058d,0
2015-02-05,12:59:25,750fa544cf3d87129aa0b6d5ee5280ce0bce7557,14
2015-02-05,13:59:31,b99a0a6170de1ad276f6a61c7e038b4f1b0adf57,14
2015-02-05,16:49:42,5f5139fc1d6ce65043a906d812cac8ebc8ab6356,14
2015-02-05,18:15:55,0e052bcb4d09be0934fcbb2f17a3ef623bd6c2dd,14
2015-02-06,10:01:43,e82504c47bad7c69af0159ca96f820cc3d40114c,14
2015-02-06,10:26:14,58fe66a65399876d1fadcfa0313a7686770d9019,14
2015-02-06,11:54:19,fdc9065a6acc35bfdc0fe747eea0ea64e1151b83,14
2015-02-06,11:56:26,160030d6807c45e626815d2b8e8b726ce3f70d24,14
2015-02-09,11:24:57,49fbfab7a50d8e4432bead5695fe195630ebe21f,14
2015-02-09,11:58:02,b8a2d1afdb7ab359201dc73d794d83146e3f35e6,14
2015-02-11,16:49:01,eeae68e55946aa1534f01e381f933f9027b1091c,14
2015-02-11,16:52:26,e9c96ef48f3f7842c36c6c6863cf6bdc85cc322b,14
2015-02-12,09:59:10,b75fe039b430182db1b61ea7a07f8c89c30cf65d,14
2015-02-12,13:46:19,d72994ebab67ebcfd6a209d4462394099890ecfd,14
2015-02-12,16:18:41,9ac21e6dae1fdd5169189ba4b8a34b8a21a1a4c1,14
2015-02-15,09:24:30,53ea65b74127c1ef1051d387a744c2985d99f41d,14
2015-02-16,08:01:54,4ebc81b13e4787635a901f8334c1b0043bdbd55b,14
2015-02-16,08:04:58,9d11ac808cbd66be9cfee772f5b0c2d81ec43258,14
2015-02-18,13:46:32,aeafddf5d9fb9f5f73d70ed5acc1524f7f6d716d,14
2015-02-18,14:01:27,72bde2e36beb2a41a5fe6b6c2dc16590df2e9a4d,14
2015-02-18,14:04:19,c6e8a94f926a705d05c25d1e6139088245acbb2b,14
2015-02-23,11:31:24,0fd71ac2f655a0a85b29dbe1100f50063caa9943,14
2015-02-23,11:31:58,8dd02a6f19084d4e107d00ddc733e50f332eeb66,14
2015-02-23,12:36:45,f5b24d4a01c4eced4d1b08ca2dd42f2f13c736a8,14
2015-02-23,12:59:53,590becd8deb1617c25ddec3411e7e60f2df11404,14
2015-02-23,13:24:07,1fa857e7c68aecdafa45f2281d0e0e8b211d6f97,14
2015-03-09,13:35:16,c323c8cd10a6edad169dc235365db365edc1dfc1,14
2015-03-09,13:39:44,1dd7b52a331397a7a5b1790c15fe7e0233f731e2,14
2015-03-09,15:07:18,6b5a0e8a0815fe41fe4ce3e8346df3e173e2eff9,14
2015-03-09,15:12:54,f3569caeb5c4a7fb1257ac41603b61e558cedc8e,14
2015-03-11,10:51:07,7976531e907cde2734f64060d7bbd1216141aefa,14
2015-03-11,13:16:24,b9b22bc0d43c9a88f4f99e4997dfb14fafb20526,14
2015-03-11,13:30:56,75a73a18067afc242f6711ff1b5e75ba11fc5d50,14
2015-03-11,13:45:05,1192317d34e4d554e1f6b7e7d80e80b3746494fb,14
2015-03-11,14:03:25,94c20729199fb3b4f76f3a0a4a18ba7939cb6aed,14
2015-03-11,14:27:36,55ca2fe6278d00e2a493e46a400b9d9c1a857434,14
2015-04-10,09:33:16,3797654898f96272961dfee169fd18abc3c40ee6,14
2015-04-13,09:32:38,567607057006eb01c378630bcfd30ff2a3e6fe0b,14
2015-04-13,10:59:37,026b89853873b8605248d87d2cb9947644bf6f5d,14
2015-05-11,10:56:23,172edc8360bc505ec09d5f0e51a3b731294286f2,14
2015-05-26,18:19:02,a7028a2bab3b3f2d6854789845abfe110c2a00c5,14
2015-05-27,10:15:23,6e278c4ff97eb56a9bc80d67352440b6375a3b36,14
2015-05-27,14:13:06,5e95eaad34d5aa5e99262cb0fee79982f0dc9b5d,14
2015-05-27,15:21:12,20b5ba82d546535ddd33431a1f0d67e8919467cc,14
2015-05-27,16:03:28,3d38c9639d660ad749534d0cf40bc67d7bf4f62b,14
2015-05-27,16:08:38,c6efdf081d603bdd21fd33163f48df03bc1a35f2,14
2015-05-27,16:45:30,f201f0b0cd7e84a843ad77f7dddfd077271639f4,14
2015-05-28,09:23:42,b714f20c67ec2fee3aad5b1d99ee8ae3ae4cd183,14
2015-05-28,10:24:31,970c9b4887fb73c9690e1e8c08107a430234d43c,14
2015-05-28,14:55:35,61f3f7a793dde9c85504b32ae1f199fb5ab8926e,14
2015-05-29,09:13:14,64a6b676bb5145037f94393f340c22edbd757a9f,14
2015-07-27,09:31:16,228dbc8d9b343c7549f90eb7ebea29aef92af6a3,14
2015-07-27,09:32:55,4924adb0e30a94f5ae541731bbe15280285d70da,14
2015-07-27,09:46:09,1a361e035637b5319bd896b0fb0df9b60d7f6e9c,14
2015-07-27,10:21:23,5f83dfb64bbd0e0c7ec7c64037e34bcc705ee2cb,14
2015-07-27,10:22:30,cc12b05fcc16b84e27bbc5fa5da379c087015509,14
2015-07-27,12:00:32,68a8ef1cdf33bf2bfa94bbadb1e1e748af8f6607,2
2015-07-27,12:08:35,55308f87e9b59542c873cc4d44c8968870a13b9d,2
2015-07-27,12:26:52,2f68bdf367a282b76a43faf5192f8c8468aab34b,2
2015-07-27,12:30:16,d2d58d658cc58750de0a83ce6b85529df56677dc,2
2015-08-06,12:44:39,0f2b80924487620a365c3cb68a236db44bea1b3c,2
2015-10-21,16:18:54,5cf86622f0a22430c1ac8be845c266ebbd04b772,2
2015-11-03,13:03:14,f38176217f506dd781a06a3b1350b8cd3cfdf5fd,2
